sending_region,receiving_region,milliseconds
asia-east2,asia-southeast2,49
us-east5,us-east4,18
us-west2,southamerica-east1,157
us-west4,europe-west1,139
asia-southeast1,asia-south1,60
australia-southeast1,southamerica-east1,294
asia-northeast2,asia-east1,35
us-west4,australia-southeast1,143
europe-west6,southamerica-west1,213
us-south1,europe-west1,111
asia-east1,europe-west2,244
us-south1,us-central1,16
europe-west1,europe-southwest1,22
australia-southeast1,us-west1,137
us-east5,australia-southeast1,187
europe-west6,europe-west8,5
europe-west1,asia-south2,157
southamerica-east1,northamerica-northeast1,127
northamerica-northeast1,us-central1,28
europe-west1,australia-southeast1,271
asia-east2,asia-northeast1,49
asia-northeast1,southamerica-east1,256
us-west4,europe-central2,160
us-east4,us-west4,60
europe-central2,southamerica-east1,214
europe-central2,us-east5,105
us-central1,asia-south2,268
asia-south1,europe-north1,165
southamerica-west1,us-west4,111
asia-northeast2,us-central1,142
asia-east1,asia-southeast2,59
us-east1,asia-northeast3,186
us-west4,europe-west9,137
europe-west6,asia-northeast3,261
us-west1,southamerica-east1,169
europe-west8,europe-west1,16
southamerica-east1,australia-southeast1,294
us-east5,southamerica-west1,138
us-east4,europe-central2,101
us-south1,europe-central2,132
europe-west6,europe-west1,13
europe-west4,europe-west8,16
southamerica-east1,europe-southwest1,208
europe-west2,southamerica-east1,190
asia-east2,asia-south2,106
us-west4,europe-west6,151
us-south1,asia-northeast3,159
europe-west3,us-east4,87
europe-west2,asia-southeast1,199
europe-southwest1,europe-west2,26
southamerica-west1,us-west1,129
europe-west4,asia-northeast1,224
asia-south1,asia-south2,22
europe-west6,asia-southeast1,191
europe-west3,northamerica-northeast2,95
europe-central2,asia-east1,264
us-west2,asia-northeast2,107
us-central1,europe-west4,102
asia-northeast3,europe-west2,242
northamerica-northeast2,us-west3,42
europe-west3,us-central1,109
europe-west6,us-west1,146
southamerica-west1,us-east1,99
us-west3,europe-west4,122
us-east1,us-central1,31
us-east5,europe-west8,100
europe-west1,asia-southeast2,209
us-central1,northamerica-northeast2,22
us-west4,asia-southeast2,183
europe-west6,asia-northeast2,244
us-east1,europe-west6,103
europe-west6,europe-north1,34
europe-central2,europe-west9,24
europe-north1,southamerica-west1,224
northamerica-northeast2,asia-northeast3,170
asia-south2,us-south1,269
europe-southwest1,europe-west1,22
europe-west6,asia-south1,132
us-central1,europe-north1,125
europe-west8,europe-west2,21
europe-west9,europe-west8,18
europe-west2,us-east1,87
asia-southeast2,europe-central2,222
asia-northeast3,us-west2,126
asia-southeast2,europe-west4,212
europe-southwest1,asia-east2,229
europe-west1,europe-west9,4
northamerica-northeast2,asia-southeast2,224
europe-west1,northamerica-northeast1,81
asia-south1,europe-southwest1,137
asia-south2,asia-southeast1,68
europe-west6,asia-east2,221
us-central1,europe-west9,101
southamerica-west1,northamerica-northeast2,142
us-west3,asia-northeast2,120
asia-east2,australia-southeast1,128
europe-west9,us-west3,121
us-west1,europe-west6,146
asia-south1,asia-east1,104
asia-southeast2,asia-northeast3,85
us-west2,europe-west1,145
us-east4,europe-west2,76
australia-southeast2,us-west4,155
europe-southwest1,europe-west4,28
europe-southwest1,europe-central2,41
europe-west8,asia-south2,144
europe-north1,europe-west3,33
asia-southeast1,europe-west4,199
australia-southeast2,us-west2,149
us-east5,asia-northeast3,166
australia-southeast1,asia-south1,152
europe-west1,southamerica-east1,193
europe-central2,europe-west6,21
europe-west9,asia-east1,251
